
Each sample represents 0.02 seconds.
Total run time: 1653.81999999879 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
  0.23      3.80      1.54     25.48     "is.Site"
  0.23      3.78      0.23      3.78     "as.integer"
  0.23      3.74      0.56      9.34     "unique.default"
  0.22      3.70     24.88    411.50     "FUN"
  0.22      3.58      0.22      3.58     "attr<-"
  0.21      3.54      0.27      4.42     "rownames<-"
  0.21      3.48     18.15    300.14     "clone"
  0.20      3.36      0.22      3.72     "is.na"
  0.19      3.20      0.87     14.46     "getId"
  0.18      2.90     23.26    384.60     "getParameterAtSite.Process"
  0.17      2.80      0.64     10.60     "getFields"
  0.17      2.78      0.17      2.82     "close.connection"
  0.17      2.74      0.20      3.34     "rev.default"
  0.16      2.72      0.16      2.72     ">"
  0.16      2.64     16.66    275.48     "method"
  0.14      2.38     17.62    291.38     "getEventsAtSite.GeneralDeletor"
  0.14      2.38     28.76    475.62     "equals.Object"
  0.14      2.24     17.63    291.58     "getEventsAtSite.GeneralInsertor"
  0.13      2.16     25.53    422.16     "lapply"
  0.13      2.10      0.23      3.88     "is.PSRoot.default"
  0.13      2.08      0.61     10.10     "getCumulativeRatesFromRange.Sequence"
  0.12      2.06      0.89     14.80     ".UpdateBranchStats.PhyloSim"
  0.11      1.86      3.50     57.92     ".checkWriteProtection"
  0.11      1.86      0.11      1.86     "&"
  0.11      1.84      0.11      1.84     "as.environment"
  0.11      1.82      0.11      1.82     "is.character"
  0.11      1.82      1.67     27.56     "as.vector"
  0.11      1.80      0.20      3.26     "as.character"
  0.11      1.80     81.08   1340.86     ".GillespieDirect.PhyloSim"
  0.10      1.72      1.18     19.44     "withVisible"
  0.10      1.70      1.12     18.50     "is.Site.default"
  0.10      1.68      0.24      3.94     "getStaticInstance"
  0.10      1.66      5.59     92.44     "!="
  0.09      1.56      1.05     17.42     "is.Process.default"
  0.09      1.52     23.35    386.12     "getParameterAtSite"
  0.09      1.50      1.76     29.04     "hasSiteSpecificParameter"
  0.09      1.46      0.09      1.46     ">="
  0.08      1.40      0.08      1.40     ":"
  0.08      1.36     24.71    408.68     "isAttached.Site"
  0.08      1.26     21.54    356.16     ".checkTriplett"
  0.07      1.24     43.22    714.86     "getEventsAtSite"
  0.07      1.22      0.63     10.46     "make.gap.in.from"
  0.07      1.20     32.63    539.58     "Perform.Event"
  0.07      1.20     27.85    460.54     "hashCode.Object"
  0.06      1.06      0.06      1.06     "dimnames<-"
  0.06      1.06      0.44      7.26     ".setHandler.Event"
  0.06      1.04      3.28     54.28     ".checkWriteProtection.Event"
  0.06      0.98      0.45      7.46     "is.vector"
  0.06      0.92      0.23      3.76     "sample"
  0.06      0.92      5.77     95.40     ".recoverAlignment.PhyloSim"
  0.06      0.92      0.06      0.96     "match.fun"
  0.05      0.86      0.05      0.86     "is.expression"
  0.05      0.86      1.23     20.30     "evalVis"
  0.05      0.86      0.47      7.80     "getFields.Object"
  0.05      0.84      0.09      1.42     "getStaticInstance.Class"
  0.05      0.84     21.46    354.90     ".checkTriplett.Process"
  0.05      0.82      5.43     89.86     "==.Alphabet"
  0.05      0.80      0.39      6.40     "is.GeneralSubstitution"
  0.05      0.80      0.30      4.88     "is.Sequence"
  0.05      0.78      0.05      0.90     "enableVirtual.PSRoot"
  0.05      0.78     24.76    409.46     "isAttached"
  0.05      0.78      0.86     14.16     "hasSymbols"
  0.05      0.78      0.05      0.78     "length"
  0.05      0.76      0.08      1.30     "colnames<-"
  0.04      0.74     13.72    226.90     ".recalculateTotalRate.Site"
  0.04      0.74     30.79    509.14     "getEvents.Site"
  0.04      0.68      0.04      0.68     "typeof"
  0.04      0.66      0.04      0.66     "is.call"
  0.04      0.66      0.65     10.76     "getCumulativeRatesFromRange"
  0.04      0.66      0.04      0.66     "seq_len"
  0.04      0.64     12.83    212.20     "getBigRate"
  0.04      0.62      0.68     11.26     "getId.Process"
  0.04      0.62      0.08      1.40     "get.seq.pos"
  0.04      0.60      0.04      0.60     "*"
  0.04      0.58      0.04      0.58     "seq_along"
  0.04      0.58      0.47      7.84     ".setHandler"
  0.03      0.56      1.12     18.56     "getProcesses"
  0.03      0.56      3.38     55.94     "is.homologous"
  0.03      0.56      0.09      1.46     "enableVirtual"
  0.03      0.54      0.51      8.36     "hasSymbols.Alphabet"
  0.03      0.54      0.03      0.54     "is.name"
  0.03      0.54      2.26     37.40     "intersect"
  0.03      0.52      0.03      0.52     "cumsum"
  0.03      0.52      0.03      0.52     "class"
  0.03      0.52      0.06      0.92     "stringLength"
  0.03      0.52      0.15      2.40     "Log"
  0.03      0.52      0.74     12.30     "getRate.Event"
  0.03      0.52      0.04      0.70     "new.env"
  0.03      0.52     12.79    211.56     "getBigRate.Sequence"
  0.03      0.52      0.26      4.30     "getState"
  0.03      0.50      0.30      4.88     "getState.Site"
  0.03      0.48      1.67     27.54     "hasSiteSpecificParameter.Process"
  0.03      0.42      0.03      0.42     "("
  0.02      0.40      0.22      3.56     ".flagCumulativeRates"
  0.02      0.40      1.09     18.00     "getProcesses.Site"
  0.02      0.38      0.02      0.38     "is.list"
  0.02      0.36      0.02      0.36     "is.na.PSRoot"
  0.02      0.34      0.02      0.34     "is.pairlist"
  0.02      0.34      0.27      4.54     "is.GeneralSubstitution.default"
  0.02      0.34      0.03      0.56     "colnames"
  0.02      0.34      0.13      2.18     "is.element"
  0.02      0.30     12.40    205.08     "rexp"
  0.02      0.30     16.17    267.50     ".recalculateCumulativeRates"
  0.02      0.30      0.02      0.30     "is.logical"
  0.02      0.30      2.78     45.98     "sampleStates.Sequence"
  0.02      0.30      0.25      4.10     "is.GY94"
  0.02      0.28      0.91     15.08     ".UpdateBranchStats"
  0.02      0.28      0.02      0.28     "as.numeric"
  0.02      0.28      0.10      1.60     "getWriteProtected"
  0.02      0.28      0.02      0.28     "is.object"
  0.02      0.26      0.17      2.82     "is.Sequence.default"
  0.02      0.26      0.10      1.68     "Debug"
  0.02      0.26      4.86     80.30     "generateInsert.GeneralInsertor"
  0.01      0.24      0.47      7.70     "runif"
  0.01      0.24      0.09      1.42     "Debug.PhyloSim"
  0.01      0.22      0.11      1.88     "Log.PhyloSim"
  0.01      0.22      0.13      2.16     ".flagCumulativeRates.Sequence"
  0.01      0.22      0.08      1.30     "flagTotalRate"
  0.01      0.20     13.73    227.10     ".recalculateTotalRate"
  0.01      0.20      0.01      0.20     "invisible"
  0.01      0.20      0.12      2.04     "rbind"
  0.01      0.20      0.30      5.04     "getRate"
  0.01      0.20      0.01      0.20     "+"
  0.01      0.20      5.49     90.78     "!=.Alphabet"
  0.01      0.20      0.71     11.76     "setState.Site"
  0.01      0.20      0.01      0.20     "as.logical"
  0.01      0.18      0.51      8.40     "sampleState.GeneralSubstitution"
  0.01      0.18      0.02      0.38     "as.list"
  0.01      0.18      0.03      0.48     "is.data.frame"
  0.01      0.18      0.02      0.40     "stringLength.default"
  0.01      0.18      0.07      1.20     "is.Alphabet"
  0.01      0.18      0.11      1.88     "sapply"
  0.01      0.18      0.11      1.78     ".checkWriteProtection.Sequence"
  0.01      0.16      0.01      0.20     "as.list.default"
  0.01      0.16      0.01      0.16     "names"
  0.01      0.16      0.01      0.16     "baseenv"
  0.01      0.14      0.74     12.30     "setState"
  0.01      0.14      0.01      0.14     "<="
  0.01      0.12      0.01      0.12     "vector"
  0.01      0.12      0.01      0.12     "dim"
  0.01      0.12     30.79    509.26     "getEvents"
  0.01      0.12      0.01      0.12     "is.function"
  0.01      0.12      0.01      0.12     "attributes"
  0.01      0.12      0.14      2.34     "rm"
  0.01      0.12      0.01      0.12     "min"
  0.01      0.12      0.01      0.12     "|"
  0.01      0.12      0.06      0.98     "get.from.symlen"
  0.01      0.12      0.07      1.08     "flagTotalRate.Site"
  0.01      0.12      0.21      3.40     "is.GY94.default"
  0.01      0.10      0.01      0.18     "match.call"
  0.01      0.10      0.04      0.60     "is.Alphabet.default"
  0.01      0.10      0.06      1.06     "getSequence"
  0.01      0.10      0.06      1.06     "getProcess"
  0.00      0.08      0.32      5.36     ".flagSeqCumulativeRates.Site"
  0.00      0.08      0.51      8.48     "sampleState"
  0.00      0.08      0.05      0.84     "getSite"
  0.00      0.06      9.75    161.22     "insertSequence"
  0.00      0.06      0.33      5.42     ".flagSeqCumulativeRates"
  0.00      0.06      0.00      0.06     "/"
  0.00      0.04      0.00      0.04     "all"
  0.00      0.04      0.00      0.06     "numeric"
  0.00      0.04      0.06      0.96     "getProcess.Event"
  0.00      0.04      0.01      0.18     "$.Class"
  0.00      0.04      0.01      0.16     "get.to.symlen"
  0.00      0.04      3.91     64.66     "deleteSubSequence"
  0.00      0.04      0.00      0.04     ".Primitive"
  0.00      0.04      0.00      0.04     "<"
  0.00      0.04      0.00      0.04     "names<-"
  0.00      0.04      4.86     80.34     "generateInsert"
  0.00      0.02      0.00      0.08     "sys.call"
  0.00      0.02      2.78     46.00     "sampleStates"
  0.00      0.02      0.08      1.36     "init.aln.mats"
  0.00      0.02      0.05      0.76     "getSite.Event"
  0.00      0.02      0.00      0.02     "dimnames"
  0.00      0.02     32.63    539.60     "Perform"
  0.00      0.02      0.08      1.32     "getWriteProtected.Sequence"
  0.00      0.02      0.00      0.02     "max"
  0.00      0.02      0.09      1.46     "as.character.Process"
  0.00      0.02      0.01      0.12     "integer"
  0.00      0.02      0.00      0.02     "character"
